train_loss,epoch,step,val_loss,val_acc,test_loss,test_acc
0.5340678095817566,0,49,,,,
0.47754165530204773,0,99,,,,
0.36276689171791077,0,149,,,,
0.12918168306350708,0,199,,,,
0.24556247889995575,0,249,,,,
0.11743303388357162,0,299,,,,
0.08261820673942566,0,349,,,,
0.07532591372728348,0,399,,,,
0.03861067816615105,0,449,,,,
0.05551864206790924,0,499,,,,
0.027216080576181412,0,549,,,,
0.051884785294532776,0,599,,,,
0.16528895497322083,0,649,,,,
0.11692646145820618,0,699,,,,
0.08598562330007553,0,749,,,,
0.2102157026529312,0,799,,,,
0.10213310271501541,0,849,,,,
0.012562486343085766,0,899,,,,
,0,899,0.08893205970525742,0.9709722399711609,,
0.15427573025226593,1,949,,,,
0.09883742034435272,1,999,,,,
0.11954687535762787,1,1049,,,,
0.037198733538389206,1,1099,,,,
0.03433126211166382,1,1149,,,,
0.040086712688207626,1,1199,,,,
0.05452101677656174,1,1249,,,,
0.06932726502418518,1,1299,,,,
0.014897184446454048,1,1349,,,,
0.14200115203857422,1,1399,,,,
0.008655497804284096,1,1449,,,,
0.04401218891143799,1,1499,,,,
0.07732349634170532,1,1549,,,,
0.02585332840681076,1,1599,,,,
0.016487330198287964,1,1649,,,,
0.09654174000024796,1,1699,,,,
0.017721807584166527,1,1749,,,,
0.1134808138012886,1,1799,,,,
,1,1799,0.078804150223732,0.9748610854148865,,
0.07719754427671432,2,1849,,,,
0.14899496734142303,2,1899,,,,
0.08245052397251129,2,1949,,,,
0.051532432436943054,2,1999,,,,
0.030633389949798584,2,2049,,,,
0.02101319655776024,2,2099,,,,
0.023752553388476372,2,2149,,,,
0.020017480477690697,2,2199,,,,
0.013140056282281876,2,2249,,,,
0.16306202113628387,2,2299,,,,
0.00595391821116209,2,2349,,,,
0.136711984872818,2,2399,,,,
0.01173777412623167,2,2449,,,,
0.03909456357359886,2,2499,,,,
0.08207100629806519,2,2549,,,,
0.026007963344454765,2,2599,,,,
0.061302550137043,2,2649,,,,
0.03790099173784256,2,2699,,,,
,2,2699,0.07424789667129517,0.9743055701255798,,
0.025323767215013504,3,2749,,,,
0.0720941349864006,3,2799,,,,
0.0772554948925972,3,2849,,,,
0.02022295817732811,3,2899,,,,
0.02469938062131405,3,2949,,,,
0.003925231285393238,3,2999,,,,
0.03311386704444885,3,3049,,,,
0.018257012590765953,3,3099,,,,
0.048840783536434174,3,3149,,,,
0.04065682739019394,3,3199,,,,
0.009906656108796597,3,3249,,,,
0.013571365736424923,3,3299,,,,
0.09601441025733948,3,3349,,,,
0.021491382271051407,3,3399,,,,
0.020792273804545403,3,3449,,,,
0.06499408930540085,3,3499,,,,
0.005918122362345457,3,3549,,,,
0.10317926108837128,3,3599,,,,
,3,3599,0.07494844496250153,0.9748610854148865,,
0.011472757905721664,4,3649,,,,
0.00480419397354126,4,3699,,,,
